,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
167,Kenai,US,60.5544,-151.2583,42.8,70,1,4.61,clear sky,0.0,0.0
168,Saint-Augustin,CA,51.226,-58.6502,38.61,79,92,11.95,overcast clouds,0.0,0.0
169,Atlantic City,US,39.3643,-74.4229,64.4,25,1,18.41,clear sky,0.0,0.0
170,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,73,75,4.61,broken clouds,0.0,0.0
171,Padang,ID,-0.9492,100.3543,77.18,87,97,2.57,light rain,0.1528,0.0
172,Comodoro Rivadavia,AR,-45.8667,-67.5,62.6,51,0,9.22,clear sky,0.0,0.0
173,Ndjole,GA,-0.1783,10.7649,73.06,95,100,0.85,overcast clouds,0.0,0.0
174,Worthington,US,40.0931,-83.018,57.2,44,1,13.8,clear sky,0.0,0.0
175,Port-Gentil,GA,-0.7193,8.7815,82.4,83,75,8.05,broken clouds,0.0,0.0
176,Lumphat,KH,13.4878,106.9816,78.28,75,64,1.43,broken clouds,0.0,0.0
177,Smithers,CA,54.7804,-127.1743,46.4,36,20,5.75,few clouds,0.0,0.0
178,Sumbe,AO,-11.2061,13.8437,80.22,87,71,3.24,light rain,0.96,0.0
179,Buala,SB,-8.145,159.5921,79.3,83,64,2.51,broken clouds,0.0,0.0
180,Bourail,NC,-21.5667,165.4833,73.69,89,100,6.33,overcast clouds,0.0,0.0
181,Salmas,IR,38.1973,44.7653,59.0,51,75,6.91,broken clouds,0.0,0.0
182,Lucapa,AO,-8.4192,20.7447,66.63,94,100,1.52,light rain,0.12,0.0
183,Basoko,CD,1.2391,23.616,73.54,91,100,5.79,light rain,0.9,0.0
184,Melfort,CA,52.8667,-104.6177,28.4,64,71,5.75,broken clouds,0.0,0.0
185,Katobu,ID,-4.9408,122.5276,74.8,91,15,3.27,few clouds,0.0,0.0
186,Flinders,AU,-34.5833,150.8552,52.0,80,12,1.01,few clouds,0.0,0.0
187,Yarmouth,US,41.7057,-70.2286,66.2,32,1,16.11,clear sky,0.0,0.0
188,Victoria,HK,22.2855,114.1577,77.0,87,45,3.0,scattered clouds,0.0,0.0
189,Kirakira,SB,-10.4544,161.9205,78.82,82,99,1.68,overcast clouds,0.0,0.0
190,Portland,US,45.5234,-122.6762,50.0,81,90,6.91,moderate rain,1.5,0.0
191,Ranavav,IN,21.6842,69.7408,81.99,70,99,8.25,overcast clouds,0.0,0.0
192,Natal,BR,-5.795,-35.2094,84.2,74,75,14.97,broken clouds,0.0,0.0
193,Provideniya,RU,64.3833,-173.3,33.84,86,89,1.07,overcast clouds,0.0,0.0
194,Cachoeiras De Macacu,BR,-22.4625,-42.6531,78.8,69,20,13.8,few clouds,0.0,0.0
195,Los Llanos De Aridane,ES,28.6585,-17.9182,71.6,60,20,4.61,few clouds,0.0,0.0
196,Anadyr,RU,64.75,177.4833,30.2,100,75,15.66,light snow,0.0,0.13
197,Muros,ES,42.7762,-9.0603,66.99,74,100,4.0,overcast clouds,0.0,0.0
198,Lundazi,ZM,-12.2929,33.1782,62.85,92,35,5.86,scattered clouds,0.0,0.0
199,Port Alfred,ZA,-33.5906,26.891,67.75,84,53,9.86,broken clouds,0.0,0.0
200,Knysna,ZA,-34.0363,23.0471,59.0,88,90,2.3,overcast clouds,0.0,0.0
201,Ancud,CL,-41.8697,-73.8203,64.0,77,75,10.36,broken clouds,0.0,0.0
202,Mana,GF,5.6592,-53.7767,77.72,89,100,12.08,overcast clouds,0.0,0.0
203,Swan Hill,AU,-35.3378,143.5544,52.03,82,69,6.85,broken clouds,0.0,0.0
204,Brae,GB,60.3964,-1.353,44.6,76,62,8.05,broken clouds,0.0,0.0
205,Tecoanapa,MX,16.5167,-98.75,84.88,56,60,10.04,broken clouds,0.0,0.0
206,Iqaluit,CA,63.7506,-68.5145,33.8,86,75,2.3,broken clouds,0.0,0.0
207,Leningradskiy,RU,69.3833,178.4167,19.38,93,100,4.38,overcast clouds,0.0,0.0
208,Tazmalt,DZ,36.3868,4.3989,71.29,50,100,3.98,overcast clouds,0.0,0.0
209,Ostrovnoy,RU,68.0531,39.5131,36.43,99,100,3.69,overcast clouds,0.0,0.0
210,Svobodnyy,RU,51.4,128.1333,34.83,54,38,11.34,scattered clouds,0.0,0.0
211,Butaritari,KI,3.0707,172.7902,82.44,76,96,11.7,overcast clouds,0.0,0.0
212,Dikson,RU,73.5069,80.5464,11.19,88,88,15.68,overcast clouds,0.0,0.0
213,Cassilandia,BR,-19.1133,-51.7342,91.4,18,10,3.91,clear sky,0.0,0.0
214,Tagusao,PH,9.1924,117.8141,79.16,81,84,4.12,broken clouds,0.0,0.0
215,Tsabong,BW,-26.0217,22.401,73.02,23,0,0.78,clear sky,0.0,0.0
216,Dakar,SN,14.6937,-17.4441,73.4,78,0,16.11,clear sky,0.0,0.0
217,Tuatapere,NZ,-46.1333,167.6833,51.01,74,88,8.99,light rain,0.21,0.0
218,Nanortalik,GL,60.1432,-45.2371,40.82,77,100,7.47,overcast clouds,0.0,0.0
219,Udachnyy,RU,66.4167,112.4,19.69,96,100,4.16,overcast clouds,0.0,0.0
220,San Jeronimo,PE,-11.9472,-75.2829,63.3,45,8,2.73,clear sky,0.0,0.0
221,Sfantu Gheorghe,RO,45.8667,25.7833,46.0,53,20,1.99,few clouds,0.0,0.0
222,Charyshskoye,RU,51.3978,83.5598,29.84,90,76,4.45,broken clouds,0.0,0.0
223,Venado Tuerto,AR,-33.7456,-61.9688,71.01,99,0,21.99,clear sky,0.0,0.0
224,Shenjiamen,CN,29.9576,122.298,61.05,90,100,6.93,overcast clouds,0.0,0.0
225,Beisfjord,NO,68.3751,17.5988,33.8,80,40,9.22,light snow,0.0,0.12
226,Fairbanks,US,64.8378,-147.7164,45.0,52,1,6.91,clear sky,0.0,0.0
227,Cuiaba,BR,-15.5961,-56.0967,91.4,38,0,6.91,clear sky,0.0,0.0
228,Abilene,US,32.4487,-99.7331,73.0,43,1,10.36,clear sky,0.0,0.0
229,Kuloy,RU,61.0305,42.4925,50.49,63,69,7.81,broken clouds,0.0,0.0
230,Bandarbeyla,SO,9.4942,50.8122,83.62,75,60,9.57,broken clouds,0.0,0.0
231,Georgetown,MY,5.4112,100.3354,82.0,89,40,4.61,scattered clouds,0.0,0.0
232,Yarada,IN,17.65,83.2667,82.4,78,40,2.3,mist,0.0,0.0
233,Severo-Kurilsk,RU,50.6789,156.125,34.95,95,100,4.25,overcast clouds,0.0,0.0
234,Filadelfia,US,39.9523,-75.1638,69.01,30,90,9.22,overcast clouds,0.0,0.0
235,Manbij,SY,36.5281,37.9549,69.8,28,0,7.61,clear sky,0.0,0.0
236,Tokur,RU,53.1333,132.9,11.5,93,11,1.43,few clouds,0.0,0.0
237,Kastamonu,TR,41.5,33.6667,50.5,82,100,4.97,overcast clouds,0.0,0.0
238,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,88.74,44,7,1.63,clear sky,0.0,0.0
239,Palatka,US,29.6486,-81.6376,84.0,64,83,12.03,broken clouds,0.0,0.0
240,Ambon,ID,-3.6954,128.1814,77.0,94,40,5.75,scattered clouds,0.0,0.0
241,Guerrero Negro,MX,27.9769,-114.0611,66.4,58,26,14.41,scattered clouds,0.0,0.0
242,Celestun,MX,20.8667,-90.4,89.56,54,97,5.95,overcast clouds,0.0,0.0
243,Adrar,MR,20.5022,-10.0711,96.28,9,2,13.02,clear sky,0.0,0.0
244,Katsuura,JP,35.1333,140.3,60.8,67,0,13.8,clear sky,0.0,0.0
245,Waingapu,ID,-9.6567,120.2641,76.55,84,43,7.05,scattered clouds,0.0,0.0
246,Rio Brilhante,BR,-21.8019,-54.5464,94.93,20,51,3.78,broken clouds,0.0,0.0
247,Solnechnyy,RU,50.7214,136.6319,29.05,77,100,8.59,light snow,0.0,0.19
248,Krivodanovka,RU,55.0881,82.6551,41.0,44,0,6.71,clear sky,0.0,0.0
249,Lompoc,US,34.6391,-120.4579,55.4,67,33,6.91,scattered clouds,0.0,0.0
250,Toktogul,KG,41.8708,72.9402,53.02,52,80,3.96,broken clouds,0.0,0.0
251,Pasvalys,LT,56.0594,24.4036,37.4,56,0,11.5,clear sky,0.0,0.0
252,Serebriya,UA,48.4559,27.7192,45.0,58,89,4.43,overcast clouds,0.0,0.0
253,Cherskiy,RU,68.75,161.3,21.24,96,100,9.69,overcast clouds,0.0,0.0
254,Ulaangom,MN,49.9811,92.0667,34.5,38,67,10.31,broken clouds,0.0,0.0
255,Mount Gambier,AU,-37.8333,140.7667,50.0,100,75,8.05,broken clouds,0.0,0.0
256,Narsaq,GL,60.9167,-46.05,57.2,30,75,29.93,broken clouds,0.0,0.0
257,Turayf,SA,31.6725,38.6637,84.2,18,75,27.63,broken clouds,0.0,0.0
258,Eureka,US,40.8021,-124.1637,54.0,89,100,8.01,overcast clouds,0.0,0.0
259,Sept-Iles,CA,50.2001,-66.3821,50.0,46,75,13.8,broken clouds,0.0,0.0
260,Marsa Matruh,EG,31.3525,27.2453,69.8,43,0,12.66,clear sky,0.0,0.0
261,Koindu,GN,8.4386,-10.3253,79.79,67,67,9.84,light rain,0.97,0.0
262,Lagoa,PT,39.05,-27.9833,58.91,82,60,27.78,broken clouds,0.0,0.0
263,Ofunato,JP,39.0717,141.7167,51.82,70,100,6.87,overcast clouds,0.0,0.0
264,Ribeira Grande,PT,38.5167,-28.7,60.8,67,75,18.41,broken clouds,0.0,0.0
265,Kormilovka,RU,55.0026,74.1028,44.6,21,100,6.71,overcast clouds,0.0,0.0
266,Nara,JP,34.6851,135.8049,61.0,86,59,1.99,broken clouds,0.0,0.0
267,Mehamn,NO,71.0357,27.8492,33.01,71,100,8.28,light snow,0.0,0.115
268,Kroonstad,ZA,-27.6504,27.2349,58.41,29,0,5.73,clear sky,0.0,0.0
269,Chipinge,ZW,-20.1883,32.6236,61.11,70,2,4.79,clear sky,0.0,0.0
270,Carauari,BR,-4.8828,-66.8958,83.52,84,37,2.06,scattered clouds,0.0,0.0
271,Killam,CA,52.7834,-111.8518,42.8,26,5,3.44,clear sky,0.0,0.0
272,Pevek,RU,69.7008,170.3133,17.11,88,100,2.39,overcast clouds,0.0,0.0
273,Quepos,CR,9.4236,-84.1652,82.4,51,40,11.5,scattered clouds,0.0,0.0
274,Lavrentiya,RU,65.5833,-171.0,24.33,93,85,2.59,overcast clouds,0.0,0.0
275,Valjevo,RS,44.2751,19.8982,48.2,40,0,4.61,clear sky,0.0,0.0
276,Chokurdakh,RU,70.6333,147.9167,-15.03,98,15,3.85,few clouds,0.0,0.0
277,Mareeba,AU,-17.0,145.4333,73.99,100,90,12.66,overcast clouds,0.0,0.0
278,Barcelos,PT,41.5388,-8.6151,64.99,94,20,3.44,few clouds,0.0,0.0
279,Laguna,US,38.421,-121.4238,64.0,55,90,10.36,overcast clouds,0.0,0.0
280,Hauterive,FR,46.0901,3.4459,75.2,29,0,9.22,clear sky,0.0,0.0
281,Lata,PT,40.1629,-8.3327,66.0,88,100,5.68,overcast clouds,0.0,0.0
282,Belomorsk,RU,64.5232,34.7668,34.77,98,100,8.37,moderate rain,1.78,0.0
283,Yar-Sale,RU,66.8333,70.8333,27.03,93,94,3.71,overcast clouds,0.0,0.0
284,Christchurch,NZ,-43.5333,172.6333,46.99,100,90,3.44,fog,0.0,0.0
285,Alofi,NU,-19.0595,-169.9187,71.6,100,69,1.14,light rain,0.17,0.0
286,Payakumbuh,ID,-0.2202,100.6308,69.73,97,100,2.77,overcast clouds,0.0,0.0
287,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,51,40,4.61,scattered clouds,0.0,0.0
288,Palenque,MX,17.5167,-91.9667,93.2,52,20,6.04,few clouds,0.0,0.0
289,Klaksvik,FO,62.2266,-6.589,50.0,57,98,4.61,overcast clouds,0.0,0.0
